workbook_row_id,resolution_id,execution_id,import_row_id,organization_seed,source_type,search_query_1,search_query_2,search_query_3,search_query_4,resolved_source_url,resolved_source_title,resolved_organization_name,resolved_contact_page_url,resolved_contact_route,resolved_contact_route_type,resolved_contact_person_or_role,evidence_note,founder_review_notes,resolution_status
BD_RESOLUTION_WORKBOOK_0001,BD_SOURCE_RESOLUTION_0001,IMPORT_EXEC_0001,BD_SOURCE_IMPORT_ROW_000001,State POST Academies,OFFICIAL_STATE_SOURCE,State POST Academies official website,State POST Academies training division contact,State POST Academies law enforcement training contact,State POST Academies public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0002,BD_SOURCE_RESOLUTION_0002,IMPORT_EXEC_0002,BD_SOURCE_IMPORT_ROW_000002,Sheriff Associations,OFFICIAL_ASSOCIATION_SOURCE,Sheriff Associations official website,Sheriff Associations training division contact,Sheriff Associations law enforcement training contact,Sheriff Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0003,BD_SOURCE_RESOLUTION_0003,IMPORT_EXEC_0003,BD_SOURCE_IMPORT_ROW_000003,Police Training Conferences,PUBLIC_EVENT_SOURCE,Police Training Conferences official website,Police Training Conferences training division contact,Police Training Conferences law enforcement training contact,Police Training Conferences public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0004,BD_SOURCE_RESOLUTION_0004,IMPORT_EXEC_0004,BD_SOURCE_IMPORT_ROW_000004,Motorcycle Dealerships,PUBLIC_BUSINESS_SOURCE,Motorcycle Dealerships official website,Motorcycle Dealerships training division contact,Motorcycle Dealerships law enforcement training contact,Motorcycle Dealerships public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0005,BD_SOURCE_RESOLUTION_0005,IMPORT_EXEC_0005,BD_SOURCE_IMPORT_ROW_000005,Rider Associations,PUBLIC_ASSOCIATION_SOURCE,Rider Associations official website,Rider Associations training division contact,Rider Associations law enforcement training contact,Rider Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0006,BD_SOURCE_RESOLUTION_0006,IMPORT_EXEC_0006,BD_SOURCE_IMPORT_ROW_000006,Motorcycle Rally Organizers,PUBLIC_EVENT_SOURCE,Motorcycle Rally Organizers official website,Motorcycle Rally Organizers training division contact,Motorcycle Rally Organizers law enforcement training contact,Motorcycle Rally Organizers public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0007,BD_SOURCE_RESOLUTION_0007,IMPORT_EXEC_0007,BD_SOURCE_IMPORT_ROW_000007,VFW Posts,PUBLIC_VETERAN_SOURCE,VFW Posts official website,VFW Posts training division contact,VFW Posts law enforcement training contact,VFW Posts public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0008,BD_SOURCE_RESOLUTION_0008,IMPORT_EXEC_0008,BD_SOURCE_IMPORT_ROW_000008,American Legion Posts,PUBLIC_VETERAN_SOURCE,American Legion Posts official website,American Legion Posts training division contact,American Legion Posts law enforcement training contact,American Legion Posts public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0009,BD_SOURCE_RESOLUTION_0009,IMPORT_EXEC_0009,BD_SOURCE_IMPORT_ROW_000009,Combat Veteran Motorcycle Associations,PUBLIC_ASSOCIATION_SOURCE,Combat Veteran Motorcycle Associations official website,Combat Veteran Motorcycle Associations training division contact,Combat Veteran Motorcycle Associations law enforcement training contact,Combat Veteran Motorcycle Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0010,BD_SOURCE_RESOLUTION_0010,IMPORT_EXEC_0010,BD_SOURCE_IMPORT_ROW_000010,State POST Academies,OFFICIAL_STATE_SOURCE,State POST Academies official website,State POST Academies training division contact,State POST Academies law enforcement training contact,State POST Academies public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0011,BD_SOURCE_RESOLUTION_0011,IMPORT_EXEC_0011,BD_SOURCE_IMPORT_ROW_000011,Sheriff Associations,OFFICIAL_ASSOCIATION_SOURCE,Sheriff Associations official website,Sheriff Associations training division contact,Sheriff Associations law enforcement training contact,Sheriff Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0012,BD_SOURCE_RESOLUTION_0012,IMPORT_EXEC_0012,BD_SOURCE_IMPORT_ROW_000012,Police Training Conferences,PUBLIC_EVENT_SOURCE,Police Training Conferences official website,Police Training Conferences training division contact,Police Training Conferences law enforcement training contact,Police Training Conferences public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0013,BD_SOURCE_RESOLUTION_0013,IMPORT_EXEC_0013,BD_SOURCE_IMPORT_ROW_000013,Motorcycle Dealerships,PUBLIC_BUSINESS_SOURCE,Motorcycle Dealerships official website,Motorcycle Dealerships training division contact,Motorcycle Dealerships law enforcement training contact,Motorcycle Dealerships public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0014,BD_SOURCE_RESOLUTION_0014,IMPORT_EXEC_0014,BD_SOURCE_IMPORT_ROW_000014,Rider Associations,PUBLIC_ASSOCIATION_SOURCE,Rider Associations official website,Rider Associations training division contact,Rider Associations law enforcement training contact,Rider Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0015,BD_SOURCE_RESOLUTION_0015,IMPORT_EXEC_0015,BD_SOURCE_IMPORT_ROW_000015,Motorcycle Rally Organizers,PUBLIC_EVENT_SOURCE,Motorcycle Rally Organizers official website,Motorcycle Rally Organizers training division contact,Motorcycle Rally Organizers law enforcement training contact,Motorcycle Rally Organizers public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0016,BD_SOURCE_RESOLUTION_0016,IMPORT_EXEC_0016,BD_SOURCE_IMPORT_ROW_000016,VFW Posts,PUBLIC_VETERAN_SOURCE,VFW Posts official website,VFW Posts training division contact,VFW Posts law enforcement training contact,VFW Posts public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0017,BD_SOURCE_RESOLUTION_0017,IMPORT_EXEC_0017,BD_SOURCE_IMPORT_ROW_000017,American Legion Posts,PUBLIC_VETERAN_SOURCE,American Legion Posts official website,American Legion Posts training division contact,American Legion Posts law enforcement training contact,American Legion Posts public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0018,BD_SOURCE_RESOLUTION_0018,IMPORT_EXEC_0018,BD_SOURCE_IMPORT_ROW_000018,Combat Veteran Motorcycle Associations,PUBLIC_ASSOCIATION_SOURCE,Combat Veteran Motorcycle Associations official website,Combat Veteran Motorcycle Associations training division contact,Combat Veteran Motorcycle Associations law enforcement training contact,Combat Veteran Motorcycle Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0019,BD_SOURCE_RESOLUTION_0019,IMPORT_EXEC_0019,BD_SOURCE_IMPORT_ROW_000019,State POST Academies,OFFICIAL_STATE_SOURCE,State POST Academies official website,State POST Academies training division contact,State POST Academies law enforcement training contact,State POST Academies public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
