"city","state","state_code","folder","category","acquisition_query_1","acquisition_query_2","acquisition_query_3","acquisition_query_4","acquisition_query_5","source_name","source_url","source_type","service_area","evidence_text","reviewed","accepted_for_import","rejected","rejection_reason","city_local_verified","provenance_verified","category_verified","notes"
"San Antonio","Texas","TX","san_antonio","city_government_directory","San Antonio Texas city_government_directory public directory","San Antonio TX city_government_directory official","San Antonio city_government_directory open data","San Antonio city_government_directory registry","San Antonio city_government_directory organizations","","","","","","","","","","","","",""
"San Antonio","Texas","TX","san_antonio","business_registry","San Antonio Texas business_registry public directory","San Antonio TX business_registry official","San Antonio business_registry open data","San Antonio business_registry registry","San Antonio business_registry organizations","","","","","","","","","","","","",""
"San Antonio","Texas","TX","san_antonio","chamber_of_commerce","San Antonio Texas chamber_of_commerce public directory","San Antonio TX chamber_of_commerce official","San Antonio chamber_of_commerce open data","San Antonio chamber_of_commerce registry","San Antonio chamber_of_commerce organizations","","","","","","","","","","","","",""
"San Antonio","Texas","TX","san_antonio","local_media_directory","San Antonio Texas local_media_directory public directory","San Antonio TX local_media_directory official","San Antonio local_media_directory open data","San Antonio local_media_directory registry","San Antonio local_media_directory organizations","","","","","","","","","","","","",""
"San Antonio","Texas","TX","san_antonio","education_institutions","San Antonio Texas education_institutions public directory","San Antonio TX education_institutions official","San Antonio education_institutions open data","San Antonio education_institutions registry","San Antonio education_institutions organizations","","","","","","","","","","","","",""
"San Antonio","Texas","TX","san_antonio","community_organizations","San Antonio Texas community_organizations public directory","San Antonio TX community_organizations official","San Antonio community_organizations open data","San Antonio community_organizations registry","San Antonio community_organizations organizations","","","","","","","","","","","","",""
"San Antonio","Texas","TX","san_antonio","venue_and_events","San Antonio Texas venue_and_events public directory","San Antonio TX venue_and_events official","San Antonio venue_and_events open data","San Antonio venue_and_events registry","San Antonio venue_and_events organizations","","","","","","","","","","","","",""
"San Antonio","Texas","TX","san_antonio","retail_and_dealers","San Antonio Texas retail_and_dealers public directory","San Antonio TX retail_and_dealers official","San Antonio retail_and_dealers open data","San Antonio retail_and_dealers registry","San Antonio retail_and_dealers organizations","","","","","","","","","","","","",""
"San Antonio","Texas","TX","san_antonio","clubs_and_associations","San Antonio Texas clubs_and_associations public directory","San Antonio TX clubs_and_associations official","San Antonio clubs_and_associations open data","San Antonio clubs_and_associations registry","San Antonio clubs_and_associations organizations","","","","","","","","","","","","",""
"San Antonio","Texas","TX","san_antonio","geospatial_open_data","San Antonio Texas geospatial_open_data public directory","San Antonio TX geospatial_open_data official","San Antonio geospatial_open_data open data","San Antonio geospatial_open_data registry","San Antonio geospatial_open_data organizations","","","","","","","","","","","","",""
"San Antonio","Texas","TX","san_antonio","transit_and_location_data","San Antonio Texas transit_and_location_data public directory","San Antonio TX transit_and_location_data official","San Antonio transit_and_location_data open data","San Antonio transit_and_location_data registry","San Antonio transit_and_location_data organizations","","","","","","","","","","","","",""
"San Antonio","Texas","TX","san_antonio","public_safety_and_civic_resources","San Antonio Texas public_safety_and_civic_resources public directory","San Antonio TX public_safety_and_civic_resources official","San Antonio public_safety_and_civic_resources open data","San Antonio public_safety_and_civic_resources registry","San Antonio public_safety_and_civic_resources organizations","","","","","","","","","","","","",""
"San Antonio","Texas","TX","san_antonio","tourism_and_visitor_bureau","San Antonio Texas tourism_and_visitor_bureau public directory","San Antonio TX tourism_and_visitor_bureau official","San Antonio tourism_and_visitor_bureau open data","San Antonio tourism_and_visitor_bureau registry","San Antonio tourism_and_visitor_bureau organizations","","","","","","","","","","","","",""
"San Antonio","Texas","TX","san_antonio","neighborhood_districts","San Antonio Texas neighborhood_districts public directory","San Antonio TX neighborhood_districts official","San Antonio neighborhood_districts open data","San Antonio neighborhood_districts registry","San Antonio neighborhood_districts organizations","","","","","","","","","","","","",""
"San Antonio","Texas","TX","san_antonio","local_nonprofits","San Antonio Texas local_nonprofits public directory","San Antonio TX local_nonprofits official","San Antonio local_nonprofits open data","San Antonio local_nonprofits registry","San Antonio local_nonprofits organizations","","","","","","","","","","","","",""
