"city","state","state_code","folder","category","acquisition_query_1","acquisition_query_2","acquisition_query_3","acquisition_query_4","acquisition_query_5","source_name","source_url","source_type","service_area","evidence_text","reviewed","accepted_for_import","rejected","rejection_reason","city_local_verified","provenance_verified","category_verified","notes"
"Nashville","Tennessee","TN","nashville","city_government_directory","Nashville Tennessee city_government_directory public directory","Nashville TN city_government_directory official","Nashville city_government_directory open data","Nashville city_government_directory registry","Nashville city_government_directory organizations","","","","","","","","","","","","",""
"Nashville","Tennessee","TN","nashville","business_registry","Nashville Tennessee business_registry public directory","Nashville TN business_registry official","Nashville business_registry open data","Nashville business_registry registry","Nashville business_registry organizations","","","","","","","","","","","","",""
"Nashville","Tennessee","TN","nashville","chamber_of_commerce","Nashville Tennessee chamber_of_commerce public directory","Nashville TN chamber_of_commerce official","Nashville chamber_of_commerce open data","Nashville chamber_of_commerce registry","Nashville chamber_of_commerce organizations","","","","","","","","","","","","",""
"Nashville","Tennessee","TN","nashville","local_media_directory","Nashville Tennessee local_media_directory public directory","Nashville TN local_media_directory official","Nashville local_media_directory open data","Nashville local_media_directory registry","Nashville local_media_directory organizations","","","","","","","","","","","","",""
"Nashville","Tennessee","TN","nashville","education_institutions","Nashville Tennessee education_institutions public directory","Nashville TN education_institutions official","Nashville education_institutions open data","Nashville education_institutions registry","Nashville education_institutions organizations","","","","","","","","","","","","",""
"Nashville","Tennessee","TN","nashville","community_organizations","Nashville Tennessee community_organizations public directory","Nashville TN community_organizations official","Nashville community_organizations open data","Nashville community_organizations registry","Nashville community_organizations organizations","","","","","","","","","","","","",""
"Nashville","Tennessee","TN","nashville","venue_and_events","Nashville Tennessee venue_and_events public directory","Nashville TN venue_and_events official","Nashville venue_and_events open data","Nashville venue_and_events registry","Nashville venue_and_events organizations","","","","","","","","","","","","",""
"Nashville","Tennessee","TN","nashville","retail_and_dealers","Nashville Tennessee retail_and_dealers public directory","Nashville TN retail_and_dealers official","Nashville retail_and_dealers open data","Nashville retail_and_dealers registry","Nashville retail_and_dealers organizations","","","","","","","","","","","","",""
"Nashville","Tennessee","TN","nashville","clubs_and_associations","Nashville Tennessee clubs_and_associations public directory","Nashville TN clubs_and_associations official","Nashville clubs_and_associations open data","Nashville clubs_and_associations registry","Nashville clubs_and_associations organizations","","","","","","","","","","","","",""
"Nashville","Tennessee","TN","nashville","geospatial_open_data","Nashville Tennessee geospatial_open_data public directory","Nashville TN geospatial_open_data official","Nashville geospatial_open_data open data","Nashville geospatial_open_data registry","Nashville geospatial_open_data organizations","","","","","","","","","","","","",""
"Nashville","Tennessee","TN","nashville","transit_and_location_data","Nashville Tennessee transit_and_location_data public directory","Nashville TN transit_and_location_data official","Nashville transit_and_location_data open data","Nashville transit_and_location_data registry","Nashville transit_and_location_data organizations","","","","","","","","","","","","",""
"Nashville","Tennessee","TN","nashville","public_safety_and_civic_resources","Nashville Tennessee public_safety_and_civic_resources public directory","Nashville TN public_safety_and_civic_resources official","Nashville public_safety_and_civic_resources open data","Nashville public_safety_and_civic_resources registry","Nashville public_safety_and_civic_resources organizations","","","","","","","","","","","","",""
"Nashville","Tennessee","TN","nashville","tourism_and_visitor_bureau","Nashville Tennessee tourism_and_visitor_bureau public directory","Nashville TN tourism_and_visitor_bureau official","Nashville tourism_and_visitor_bureau open data","Nashville tourism_and_visitor_bureau registry","Nashville tourism_and_visitor_bureau organizations","","","","","","","","","","","","",""
"Nashville","Tennessee","TN","nashville","neighborhood_districts","Nashville Tennessee neighborhood_districts public directory","Nashville TN neighborhood_districts official","Nashville neighborhood_districts open data","Nashville neighborhood_districts registry","Nashville neighborhood_districts organizations","","","","","","","","","","","","",""
"Nashville","Tennessee","TN","nashville","local_nonprofits","Nashville Tennessee local_nonprofits public directory","Nashville TN local_nonprofits official","Nashville local_nonprofits open data","Nashville local_nonprofits registry","Nashville local_nonprofits organizations","","","","","","","","","","","","",""
