"city","state","category","required_source_name","required_source_url","required_evidence_text","required_service_area","reviewed","accepted_for_import","city_local_verified","provenance_verified","category_verified","reject_if"
"Seattle","Washington","city_government_directory","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"Seattle","Washington","business_registry","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"Seattle","Washington","chamber_of_commerce","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"Seattle","Washington","local_media_directory","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"Seattle","Washington","education_institutions","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"Seattle","Washington","community_organizations","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"Seattle","Washington","venue_and_events","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"Seattle","Washington","retail_and_dealers","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"Seattle","Washington","clubs_and_associations","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"Seattle","Washington","geospatial_open_data","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"Seattle","Washington","transit_and_location_data","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"Seattle","Washington","public_safety_and_civic_resources","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"Seattle","Washington","tourism_and_visitor_bureau","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"Seattle","Washington","neighborhood_districts","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
"Seattle","Washington","local_nonprofits","FILL_REAL_PUBLIC_SOURCE_NAME","FILL_REAL_PUBLIC_SOURCE_URL","FILL_EVIDENCE_FROM_SOURCE_SHOWING_CITY_AND_CATEGORY","FILL_CITY_OR_SERVICE_AREA","TRUE","TRUE","TRUE","TRUE","TRUE","Not city-local; no public URL; no evidence text; wrong category; copied from Long Beach/LA; private person target; inferred contact only"
