"city","state","state_code","folder","category","acquisition_query_1","acquisition_query_2","acquisition_query_3","acquisition_query_4","acquisition_query_5","source_name","source_url","source_type","service_area","evidence_text","reviewed","accepted_for_import","rejected","rejection_reason","city_local_verified","provenance_verified","category_verified","notes"
"New York City","New York","NY","new_york_city","city_government_directory","New York City New York city_government_directory public directory","New York City NY city_government_directory official","New York City city_government_directory open data","New York City city_government_directory registry","New York City city_government_directory organizations","","","","","","","","","","","","",""
"New York City","New York","NY","new_york_city","business_registry","New York City New York business_registry public directory","New York City NY business_registry official","New York City business_registry open data","New York City business_registry registry","New York City business_registry organizations","","","","","","","","","","","","",""
"New York City","New York","NY","new_york_city","chamber_of_commerce","New York City New York chamber_of_commerce public directory","New York City NY chamber_of_commerce official","New York City chamber_of_commerce open data","New York City chamber_of_commerce registry","New York City chamber_of_commerce organizations","","","","","","","","","","","","",""
"New York City","New York","NY","new_york_city","local_media_directory","New York City New York local_media_directory public directory","New York City NY local_media_directory official","New York City local_media_directory open data","New York City local_media_directory registry","New York City local_media_directory organizations","","","","","","","","","","","","",""
"New York City","New York","NY","new_york_city","education_institutions","New York City New York education_institutions public directory","New York City NY education_institutions official","New York City education_institutions open data","New York City education_institutions registry","New York City education_institutions organizations","","","","","","","","","","","","",""
"New York City","New York","NY","new_york_city","community_organizations","New York City New York community_organizations public directory","New York City NY community_organizations official","New York City community_organizations open data","New York City community_organizations registry","New York City community_organizations organizations","","","","","","","","","","","","",""
"New York City","New York","NY","new_york_city","venue_and_events","New York City New York venue_and_events public directory","New York City NY venue_and_events official","New York City venue_and_events open data","New York City venue_and_events registry","New York City venue_and_events organizations","","","","","","","","","","","","",""
"New York City","New York","NY","new_york_city","retail_and_dealers","New York City New York retail_and_dealers public directory","New York City NY retail_and_dealers official","New York City retail_and_dealers open data","New York City retail_and_dealers registry","New York City retail_and_dealers organizations","","","","","","","","","","","","",""
"New York City","New York","NY","new_york_city","clubs_and_associations","New York City New York clubs_and_associations public directory","New York City NY clubs_and_associations official","New York City clubs_and_associations open data","New York City clubs_and_associations registry","New York City clubs_and_associations organizations","","","","","","","","","","","","",""
"New York City","New York","NY","new_york_city","geospatial_open_data","New York City New York geospatial_open_data public directory","New York City NY geospatial_open_data official","New York City geospatial_open_data open data","New York City geospatial_open_data registry","New York City geospatial_open_data organizations","","","","","","","","","","","","",""
"New York City","New York","NY","new_york_city","transit_and_location_data","New York City New York transit_and_location_data public directory","New York City NY transit_and_location_data official","New York City transit_and_location_data open data","New York City transit_and_location_data registry","New York City transit_and_location_data organizations","","","","","","","","","","","","",""
"New York City","New York","NY","new_york_city","public_safety_and_civic_resources","New York City New York public_safety_and_civic_resources public directory","New York City NY public_safety_and_civic_resources official","New York City public_safety_and_civic_resources open data","New York City public_safety_and_civic_resources registry","New York City public_safety_and_civic_resources organizations","","","","","","","","","","","","",""
"New York City","New York","NY","new_york_city","tourism_and_visitor_bureau","New York City New York tourism_and_visitor_bureau public directory","New York City NY tourism_and_visitor_bureau official","New York City tourism_and_visitor_bureau open data","New York City tourism_and_visitor_bureau registry","New York City tourism_and_visitor_bureau organizations","","","","","","","","","","","","",""
"New York City","New York","NY","new_york_city","neighborhood_districts","New York City New York neighborhood_districts public directory","New York City NY neighborhood_districts official","New York City neighborhood_districts open data","New York City neighborhood_districts registry","New York City neighborhood_districts organizations","","","","","","","","","","","","",""
"New York City","New York","NY","new_york_city","local_nonprofits","New York City New York local_nonprofits public directory","New York City NY local_nonprofits official","New York City local_nonprofits open data","New York City local_nonprofits registry","New York City local_nonprofits organizations","","","","","","","","","","","","",""
